Episode,Average Reward
0,-0.72888
1,-0.804236
2,-0.725996
3,-0.804348
4,-0.799972
5,-0.756664
6,-0.717924
7,-0.748428
8,-0.727544
9,-0.741452
10,-0.74428
11,-0.806024
12,-0.75498
13,-0.750304
14,-0.789664
15,-0.738104
16,-0.7512479999999999
17,-0.711108
18,-0.747168
19,-0.778896
20,-0.7822279999999999
21,-0.7184159999999999
22,-0.755736
23,-0.743712
24,-0.762672
25,-0.7124
26,-0.765772
27,-0.783868
28,-0.741664
29,-0.7052
30,-0.785656
31,-0.814092
32,-0.710952
33,-0.775924
34,-0.74702
35,-0.7378560000000001
36,-0.760716
37,-0.754516
38,-0.752304
39,-0.659488
40,-0.713192
41,-0.774324
42,-0.754384
43,-0.761916
44,-0.816824
45,-0.7706
46,-0.7913680000000001
47,-0.756548
48,-0.758776
49,-0.7225199999999999
50,-0.753296
51,-0.675776
52,-0.770876
53,-0.730672
54,-0.795668
55,-0.7218680000000001
56,-0.729444
57,-0.6952520000000001
58,-0.671508
59,-0.757736
60,-0.782284
61,-0.808128
62,-0.7479279999999999
63,-0.799884
64,-0.729984
65,-0.736016
66,-0.691588
67,-0.75298
68,-0.695296
69,-0.78508
70,-0.719152
71,-0.7840560000000001
72,-0.7276199999999999
73,-0.6935640000000001
74,-0.81302
75,-0.698036
76,-0.727988
77,-0.796524
78,-0.78094
79,-0.780572
80,-0.778716
81,-0.699496
82,-0.806592
83,-0.71878
84,-0.8265520000000001
85,-0.7583479999999999
86,-0.703052
87,-0.702244
88,-0.75246
89,-0.722584
90,-0.719228
91,-0.619092
92,-0.7769520000000001
93,-0.683136
94,-0.7428520000000001
95,-0.749
96,-0.68634
97,-0.700152
98,-0.6866359999999999
99,-0.758192
